x f(root) approx_root-root
1e-06 0 0
1.5e-06 0 0
2.25e-06 0 0
3.375e-06 0 0
5.0625e-06 0 0
7.59375e-06 0 0
1.13906e-05 0 0
1.70859e-05 -2.71153e-10 1.5655e-10
2.56289e-05 -2.71153e-10 1.5655e-10
3.84434e-05 -2.71153e-10 1.5655e-10
5.7665e-05 -2.71153e-10 1.5655e-10
8.64976e-05 -2.71153e-10 1.5655e-10
0.000129746 -2.71153e-10 1.5655e-10
0.00019462 -2.71153e-10 1.5655e-10
0.000291929 -2.71153e-10 1.5655e-10
0.000437894 -2.71153e-10 1.5655e-10
0.000656841 -2.71153e-10 1.5655e-10
0.000985261 -2.71153e-10 1.5655e-10
0.00147789 -2.71153e-10 1.5655e-10
0.00221684 -2.71153e-10 1.5655e-10
0.00332526 -2.71153e-10 1.5655e-10
0.00498789 -2.71153e-10 1.5655e-10
0.00748183 -2.85217e-05 1.64669e-05
0.0112227 -2.85217e-05 1.64669e-05
0.0168341 -2.85217e-05 1.64669e-05
0.0252512 -2.85217e-05 1.64669e-05
0.0378768 -2.85217e-05 1.64669e-05
0.0568151 -2.85217e-05 1.64669e-05
0.0852227 -2.85217e-05 1.64669e-05
0.127834 -0.00930737 0.00535704
0.191751 -0.00930737 0.00535704
0.287627 -0.00930737 0.00535704
0.43144 -0.00930737 0.00535704
0.64716 -0.186747 0.101832
0.97074 -0.186747 0.101832

