0.1000000	1.1051709	1.1000000	0.0051709	0.0050000	0.0001709
0.2000000	1.2214028	1.2000000	0.0214028	0.0200000	0.0014028
0.3000000	1.3498588	1.3000000	0.0498588	0.0450000	0.0048588
0.4000000	1.4918247	1.4000000	0.0918247	0.0800000	0.0118247
0.5000000	1.6487213	1.5000000	0.1487213	0.1250000	0.0237213
0.6000000	1.8221188	1.6000000	0.2221188	0.1800000	0.0421188
0.7000000	2.0137527	1.7000000	0.3137527	0.2450000	0.0687527
0.8000000	2.2255409	1.8000000	0.4255409	0.3200000	0.1055409
0.9000000	2.4596031	1.9000000	0.5596031	0.4050000	0.1546031
1.0000000	2.7182818	2.0000000	0.7182818	0.5000000	0.2182818
