0.1000000	1.1051709	1.1050000	0.0001709	0.0001667	0.0000043
0.2000000	1.2214028	1.2200000	0.0014028	0.0013333	0.0000694
0.3000000	1.3498588	1.3450000	0.0048588	0.0045000	0.0003588
0.4000000	1.4918247	1.4800000	0.0118247	0.0106667	0.0011580
0.5000000	1.6487213	1.6250000	0.0237213	0.0208333	0.0028879
0.6000000	1.8221188	1.7800000	0.0421188	0.0360000	0.0061188
0.7000000	2.0137527	1.9450000	0.0687527	0.0571667	0.0115860
0.8000000	2.2255409	2.1200000	0.1055409	0.0853333	0.0202076
0.9000000	2.4596031	2.3050000	0.1546031	0.1215000	0.0331031
1.0000000	2.7182818	2.5000000	0.2182818	0.1666667	0.0516152
