tolerance error_i/error_{i-1}
inf 0.0339746 
0.0339746 0.0660254 
0.0660254 0.0160254 
0.0160254 0.0089746 
0.0089746 0.0035254 
0.0035254 0.0027246 
0.0027246 0.000400404 
0.000400404 0.0011621 
0.0011621 0.000380846 
0.000380846 9.77878e-06 
9.77878e-06 0.000185534 
0.000185534 8.78775e-05 
8.78775e-05 3.90493e-05 
3.90493e-05 1.46353e-05 
1.46353e-05 2.42825e-06 
2.42825e-06 3.67527e-06 
3.67527e-06 6.23511e-07 
6.23511e-07 9.02368e-07 
9.02368e-07 1.39428e-07 
1.39428e-07 2.42041e-07 
2.42041e-07 5.13064e-08 
5.13064e-08 4.4061e-08 
4.4061e-08 3.6227e-09 
3.6227e-09 2.02192e-08 
2.02192e-08 8.29823e-09 
8.29823e-09 2.33777e-09 
2.33777e-09 6.42463e-10 
6.42463e-10 8.47653e-10 
8.47653e-10 1.02595e-10 
1.02595e-10 2.69934e-10 
2.69934e-10 8.36693e-11 
8.36693e-11 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
9.46287e-12 9.46287e-12 
