x f(root) approx_root
1e-06 0 1.36603
1.5e-06 0 1.36603
2.25e-06 0 1.36603
3.375e-06 0 1.36603
5.0625e-06 0 1.36603
7.59375e-06 0 1.36603
1.13906e-05 0 1.36603
1.70859e-05 0 1.36603
2.56289e-05 0 1.36603
3.84434e-05 0 1.36603
5.7665e-05 -2.11817e-09 1.36603
8.64976e-05 -2.11817e-09 1.36603
0.000129746 -2.11817e-09 1.36603
0.00019462 -2.11817e-09 1.36603
0.000291929 -2.11817e-09 1.36603
0.000437894 -2.11817e-09 1.36603
0.000656841 -2.11817e-09 1.36603
0.000985261 -2.11817e-09 1.36603
0.00147789 -2.11817e-09 1.36603
0.00221684 -2.11817e-09 1.36603
0.00332526 -2.11817e-09 1.36603
0.00498789 -2.11817e-09 1.36603
0.00748183 -2.11817e-09 1.36603
0.0112227 -7.97194e-05 1.36607
0.0168341 -7.97194e-05 1.36607
0.0252512 -7.97194e-05 1.36607
0.0378768 -7.97194e-05 1.36607
0.0568151 -7.97194e-05 1.36607
0.0852227 -7.97194e-05 1.36607
0.127834 -0.015625 1.375
0.191751 -0.015625 1.375
0.287627 -0.015625 1.375
0.43144 -0.015625 1.375
0.64716 -0.25 1.5
0.97074 -0.25 1.5

