N	Sequential	Inverted
1	0.64493405818939208984	0.64493405818939208984
2	0.39493405818939208984	0.39493405818939208984
3	0.28382289409637451172	0.28382289409637451172
4	0.22132290899753570557	0.22132290899753570557
5	0.18132294714450836182	0.18132294714450836182
6	0.15354515612125396729	0.15354515612125396729
7	0.13313700258731842041	0.13313700258731842041
8	0.11751199513673782349	0.11751199513673782349
9	0.10516632348299026489	0.10516632348299026489
10	0.09516633301973342896	0.09516633301973342896
11	0.08690191060304641724	0.08690191060304641724
12	0.07995749264955520630	0.07995737344026565552
13	0.07404030114412307739	0.07404030114412307739
14	0.06893826276063919067	0.06893826276063919067
15	0.06449378281831741333	0.06449378281831741333
16	0.06058753281831741333	0.06058753281831741333
17	0.05712736397981643677	0.05712736397981643677
18	0.05404091626405715942	0.05404091626405715942
19	0.05127085000276565552	0.05127085000276565552
20	0.04877079278230667114	0.04877079278230667114
21	0.04650319367647171021	0.04650319367647171021
22	0.04443705826997756958	0.04443717747926712036
23	0.04254675656557083130	0.04254675656557083130
24	0.04081059247255325317	0.04081071168184280396
25	0.03921056538820266724	0.03921068459749221802
26	0.03773129731416702271	0.03773141652345657349
27	0.03635955601930618286	0.03635967522859573364
28	0.03508401662111282349	0.03508413583040237427
29	0.03389490395784378052	0.03389502316713333130
30	0.03278375416994094849	0.03278399258852005005
31	0.03174317628145217896	0.03174341470003128052
32	0.03076661564409732819	0.03076685406267642975
33	0.02984834648668766022	0.02984858490526676178
34	0.02898324467241764069	0.02898348309099674225
35	0.02816689945757389069	0.02816713787615299225
36	0.02739525772631168365	0.02739561535418033600
37	0.02666474319994449615	0.02666510082781314850
38	0.02597225643694400787	0.02597261406481266022
39	0.02531481720507144928	0.02531517483294010162
40	0.02468980289995670319	0.02469016052782535553
41	0.02409494854509830475	0.02409518696367740631
42	0.02352810837328433990	0.02352834679186344147
43	0.02298725582659244537	0.02298749424517154694
44	0.02247072197496891022	0.02247096039354801178
45	0.02197683788836002350	0.02197719551622867584
46	0.02150429226458072662	0.02150453068315982819
47	0.02105165459215641022	0.02105189301073551178
48	0.02061761356890201569	0.02061785198748111725
49	0.02020109631121158600	0.02020133472979068756
50	0.01980114914476871490	0.01980138756334781647
51	0.01941669918596744537	0.01941693760454654694
52	0.01904691196978092194	0.01904703117907047272
53	0.01869095303118228912	0.01869107224047183990
54	0.01834798790514469147	0.01834810711443424225
55	0.01801742054522037506	0.01801753975450992584
56	0.01769853569567203522	0.01769865490496158600
57	0.01739073731005191803	0.01739085651934146881
58	0.01709342934191226959	0.01709354855120182037
59	0.01680613495409488678	0.01680637337267398834
60	0.01652837730944156647	0.01652849651873111725
61	0.01625967957079410553	0.01625979878008365631
62	0.01599956490099430084	0.01599968411028385162
63	0.01574755646288394928	0.01574767567217350006
64	0.01550341490656137466	0.01550353411585092545
65	0.01526678446680307388	0.01526690367609262466
66	0.01503718737512826920	0.01503730658441781998
67	0.01481438521295785904	0.01481450442224740982
68	0.01459813956171274185	0.01459825877100229263
69	0.01438809279352426529	0.01438821200281381607
70	0.01418400648981332779	0.01418412569910287857
71	0.01398564223200082779	0.01398576144129037857
72	0.01379276160150766373	0.01379288081079721451
73	0.01360512617975473404	0.01360524538904428482
74	0.01342249754816293716	0.01342261675745248795
75	0.01324475649744272232	0.01324487570673227310
76	0.01307166460901498795	0.01307166460901498795
77	0.01290298346430063248	0.01290310267359018326
78	0.01273859385401010513	0.01273871306329965591
79	0.01257837656885385513	0.01257849577814340591
80	0.01242209319025278091	0.01242221239954233170
81	0.01226962450891733170	0.01226986292749643326
82	0.01212085131555795670	0.01212108973413705826
83	0.01197565440088510513	0.01197589281946420670
84	0.01183391455560922623	0.01183415297418832779
