0	-100.93
0.25	-93.2015
0.5	-85.473
0.75	-77.7445
1	-70.016
1.25	-62.2875
1.5	-54.559
1.75	-46.8305
2	-39.102
2.25	-31.3735
2.5	-23.645
2.75	-15.9165
3	-8.188
3.25	-0.4595
3.5	7.269
3.75	14.9975
4	22.726
4.25	30.4545
4.5	38.183
4.75	45.9115
5	53.64
5.25	61.3685
5.5	69.097
5.75	76.8255
6	84.554
6.25	92.2825
6.5	100.011
6.75	107.739
7	115.468
7.25	123.196
7.5	130.925
7.75	138.653
8	146.382
8.25	154.11
8.5	161.839
8.75	169.567
9	177.296
9.25	185.024
9.5	192.753
9.75	200.481
10	208.21
10.25	215.938
10.5	223.667
10.75	231.395
11	239.124
11.25	246.852
11.5	254.581
11.75	262.309
12	270.038
12.25	277.766
12.5	285.495
12.75	293.223
13	300.952
13.25	308.68
13.5	316.409
13.75	324.137
14	331.866
14.25	339.594
14.5	347.323
14.75	355.051
15	362.78
15.25	370.508
15.5	378.237
15.75	385.965
16	393.694
16.25	401.423
16.5	409.151
16.75	416.88
17	424.608
17.25	432.337
17.5	440.065
17.75	447.793
18	455.522
18.25	463.25
18.5	470.979
18.75	478.707
19	486.436
19.25	494.164
19.5	501.893
19.75	509.622
20	517.35
20.25	525.079
20.5	532.807
20.75	540.535
21	548.264
21.25	555.993
21.5	563.721
21.75	571.45
22	579.178
22.25	586.907
22.5	594.635
22.75	602.364
23	610.092
23.25	617.821
23.5	625.549
23.75	633.278
24	641.006
24.25	648.735
24.5	656.463
24.75	664.192
25	671.92
25.25	679.649
25.5	687.377
25.75	695.106
26	702.834
26.25	710.562
26.5	718.291
26.75	726.02
27	733.748
27.25	741.477
27.5	749.205
27.75	756.934
28	764.662
28.25	772.391
28.5	780.119
28.75	787.848
29	795.576
29.25	803.305
29.5	811.033
29.75	818.762
30	826.49
