0 0 5.46388 5.57013 11.7755 15.6418 
0.015625 0 5.78423 5.5402 11.6184 15.3551 
0.03125 0 6.09159 5.51159 11.4763 15.1053 
0.046875 0 6.3798 5.48494 11.3558 14.9079 
0.0625 0 6.64307 5.46082 11.2626 14.7753 
0.078125 0 6.87612 5.43976 11.201 14.7158 
0.09375 0 7.07427 5.42222 11.1739 14.733 
0.109375 0 7.23354 5.40859 11.1825 14.8258 
0.125 0 7.35074 5.39916 11.2265 14.9885 
0.140625 0 7.42353 5.39414 11.3038 15.211 
0.15625 0 7.45042 5.39365 11.4107 15.4794 
0.171875 0 7.4309 5.39768 11.5424 15.7769 
0.1875 0 7.36534 5.40616 11.6926 16.0851 
0.203125 0 7.25507 5.4189 11.8544 16.3847 
0.21875 0 7.1023 5.43561 12.0202 16.6571 
0.234375 0 6.91009 5.45594 12.1823 16.8853 
0.25 10 6.6823 5.47944 12.3331 17.0551 
0.265625 10 6.48387 5.50085 12.4809 17.1991 
0.28125 10 6.31102 5.52054 12.6246 17.3141 
0.296875 10 6.16047 5.53886 12.7631 17.3973 
0.3125 10 6.02937 5.55612 12.8954 17.4468 
0.328125 10 5.91522 5.57261 13.0205 17.4616 
0.34375 10 5.81585 5.58862 13.1373 17.4411 
0.359375 10 5.72938 5.60441 13.2451 17.3859 
0.375 10 5.65416 5.62028 13.343 17.2974 
0.390625 10 5.58877 5.63648 13.4303 17.1774 
0.40625 10 5.53196 5.65329 13.5062 17.0289 
0.421875 10 5.48266 5.67101 13.5704 16.8553 
0.4375 10 5.43992 5.68993 13.6221 16.6606 
0.453125 10 5.40293 5.71039 13.6611 16.4493 
0.46875 10 5.371 5.73273 13.6871 16.2264 
0.484375 10 5.34352 5.75734 13.6998 15.997 
0.5 10 5.31995 5.78464 13.6992 15.7664 
0.515625 10 5.29987 5.8151 13.6852 15.5401 
0.53125 10 5.28288 5.84925 13.6581 15.3232 
0.546875 10 5.26866 5.88767 13.6179 15.1208 
0.5625 10 5.25694 5.93101 13.565 14.9377 
0.578125 10 5.2475 5.98004 13.4998 14.778 
0.59375 10 5.24016 6.03558 13.4227 14.6455 
0.609375 10 5.23479 6.09859 13.3345 14.5432 
0.625 10 5.23127 6.17017 13.2356 14.4736 
0.640625 10 5.22954 6.25152 13.127 14.4382 
0.65625 10 5.22957 6.34406 13.0093 14.4379 
0.671875 10 5.23136 6.44937 12.8836 14.4726 
0.6875 10 5.23495 6.56927 12.7507 14.5416 
0.703125 10 5.24039 6.70581 12.6116 14.6433 
0.71875 10 5.2478 6.86135 12.4675 14.7753 
0.734375 10 5.25732 7.03854 12.3194 14.9346 
0.75 10 5.26912 7.24044 12.1684 15.1173 
0.765625 0 5.28344 7.47053 12.0156 15.3194 
0.78125 0 5.29481 7.6597 11.8594 15.5606 
0.796875 0 5.30302 7.80383 11.7069 15.8259 
0.8125 0 5.3079 7.89976 11.5653 16.0988 
0.828125 0 5.30935 7.94539 11.4413 16.3623 
0.84375 0 5.30734 7.93973 11.3405 16.5999 
0.859375 0 5.30191 7.88289 11.2676 16.7969 
0.875 0 5.29318 7.77613 11.2262 16.941 
0.890625 0 5.28131 7.62177 11.218 17.0233 
0.90625 0 5.26654 7.42319 11.2436 17.0385 
0.921875 0 5.24918 7.18475 11.3016 16.9857 
0.9375 0 5.22956 6.91165 11.3895 16.8683 
0.953125 0 5.20809 6.60987 11.503 16.6936 
0.96875 0 5.18519 6.28601 11.6369 16.4723 
0.984375 0 5.16132 5.94716 11.785 16.2184 

