t	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18
0	1	0	0	-1	0	0	0	0	0	0	0.4	0	0	-0.8	0.7	0	-0.8	0.7
0.01	1	0.004	0	-1	-0.008	0.007	0	-0.008	0.007	-0.005	0.4	0	0.008	-0.8	0.7	0.012	-0.8	0.7
0.02	0.99995	0.008	0	-0.99992	-0.016	0.014	0.00012	-0.016	0.014	-0.00999877	0.399946	3.14916e-05	0.0159997	-0.799976	0.699986	0.0239954	-0.799808	0.699888
0.03	0.99985	0.0119995	3.14916e-07	-0.99976	-0.0239998	0.0209999	0.000359954	-0.0239981	0.0209989	-0.0149953	0.399838	9.44547e-05	0.0239988	-0.799928	0.699958	0.0359826	-0.799424	0.699664
0.04	0.9997	0.0159978	1.25946e-06	-0.99952	-0.031999	0.0279994	0.00071978	-0.0319923	0.0279955	-0.0199887	0.399676	0.000188858	0.0319967	-0.799856	0.699916	0.0479582	-0.798849	0.699329
0.05	0.9995	0.0199946	3.14804e-06	-0.9992	-0.0399976	0.0349986	0.00119936	-0.0399808	0.0349888	-0.024978	0.399461	0.000314658	0.0399933	-0.79976	0.69986	0.0599187	-0.798082	0.698881
0.06	0.99925	0.0239892	6.29462e-06	-0.9988	-0.0479952	0.0419972	0.00179855	-0.0479616	0.0419776	-0.0299622	0.399191	0.000471802	0.0479881	-0.79964	0.69979	0.0718606	-0.797125	0.698323
0.07	0.998951	0.0279811	1.10126e-05	-0.99832	-0.0559916	0.0489951	0.00251716	-0.0559329	0.0489608	-0.0349403	0.398868	0.000660225	0.0559807	-0.799496	0.699706	0.0837805	-0.795977	0.697653
0.08	0.998601	0.0319698	1.76149e-05	-0.99776	-0.0639866	0.0559922	0.00335496	-0.0638927	0.0559374	-0.0399114	0.398492	0.000879851	0.0639707	-0.799327	0.699608	0.0956749	-0.794639	0.696873
0.09	0.998202	0.0359547	2.64134e-05	-0.997121	-0.0719798	0.0629882	0.00431171	-0.071839	0.0629061	-0.0448745	0.398062	0.00113059	0.0719578	-0.799135	0.699495	0.10754	-0.793112	0.695982
0.1	0.997754	0.0399353	3.77194e-05	-0.996401	-0.0799712	0.0699832	0.00538711	-0.0797702	0.0698659	-0.0498288	0.397579	0.00141236	0.0799416	-0.798918	0.699369	0.119373	-0.791397	0.694982
0.11	0.997255	0.0439111	5.18429e-05	-0.995602	-0.0879604	0.0769769	0.00658085	-0.0876841	0.0768157	-0.0547732	0.397043	0.00172503	0.0879218	-0.798677	0.699228	0.131171	-0.789494	0.693871
0.12	0.996707	0.0478816	6.90932e-05	-0.994723	-0.0959471	0.0839692	0.00789255	-0.0955791	0.0837545	-0.0597068	0.396454	0.00206849	0.0958979	-0.798412	0.699074	0.142929	-0.787404	0.692652
0.13	0.99611	0.0518461	8.97781e-05	-0.993764	-0.103931	0.0909599	0.00932185	-0.103453	0.090681	-0.0646287	0.395813	0.00244263	0.10387	-0.798122	0.698905	0.154645	-0.785128	0.691325
0.14	0.995464	0.0558042	0.000114204	-0.992725	-0.111912	0.0979489	0.0108683	-0.111304	0.0975942	-0.069538	0.395119	0.00284728	0.111837	-0.797808	0.698721	0.166316	-0.782668	0.68989
0.15	0.994769	0.0597554	0.000142677	-0.991606	-0.119891	0.104936	0.0125315	-0.119131	0.104493	-0.0744339	0.394373	0.00328232	0.119798	-0.797469	0.698523	0.177937	-0.780024	0.688347
0.16	0.994024	0.0636991	0.0001755	-0.990408	-0.127865	0.111921	0.0143108	-0.126931	0.111377	-0.0793153	0.393576	0.00374757	0.127755	-0.797105	0.698311	0.189506	-0.777197	0.686698
0.17	0.993231	0.0676349	0.000212976	-0.989131	-0.135836	0.118905	0.0162059	-0.134703	0.118244	-0.0841815	0.392726	0.00424288	0.135705	-0.796716	0.698085	0.201021	-0.77419	0.684944
