t	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18
0.32	0.981318	0.0477176	-0.0477176	-0.981318	-0.0477176	0.0477176	0	0	0	-0.121149	0.147151	-0.147151	0.121149	-0.147151	0.147151	0	0	0
0.33	0.980106	0.0491892	-0.0491892	-0.980106	-0.0491892	0.0491892	0	0	0	-0.125016	0.146963	-0.146963	0.125016	-0.146963	0.146963	0	0	0
0.34	0.978856	0.0506588	-0.0506588	-0.978856	-0.0506588	0.0506588	0	0	0	-0.12889	0.146769	-0.146769	0.12889	-0.146769	0.146769	0	0	0
0.35	0.977567	0.0521265	-0.0521265	-0.977567	-0.0521265	0.0521265	0	0	0	-0.132773	0.146568	-0.146568	0.132773	-0.146568	0.146568	0	0	0
0.36	0.976239	0.0535921	-0.0535921	-0.976239	-0.0535921	0.0535921	0	0	0	-0.136664	0.14636	-0.14636	0.136664	-0.14636	0.14636	0	0	0
0.37	0.974873	0.0550557	-0.0550557	-0.974873	-0.0550557	0.0550557	0	0	0	-0.140563	0.146146	-0.146146	0.140563	-0.146146	0.146146	0	0	0
0.38	0.973467	0.0565172	-0.0565172	-0.973467	-0.0565172	0.0565172	0	0	0	-0.144471	0.145925	-0.145925	0.144471	-0.145925	0.145925	0	0	0
0.39	0.972022	0.0579765	-0.0579765	-0.972022	-0.0579765	0.0579765	0	0	0	-0.148389	0.145698	-0.145698	0.148389	-0.145698	0.145698	0	0	0
0.4	0.970538	0.0594334	-0.0594334	-0.970538	-0.0594334	0.0594334	0	0	0	-0.152316	0.145464	-0.145464	0.152316	-0.145464	0.145464	0	0	0
0.41	0.969015	0.0608881	-0.0608881	-0.969015	-0.0608881	0.0608881	0	0	0	-0.156253	0.145223	-0.145223	0.156253	-0.145223	0.145223	0	0	0
0.42	0.967453	0.0623403	-0.0623403	-0.967453	-0.0623403	0.0623403	0	0	0	-0.160199	0.144975	-0.144975	0.160199	-0.144975	0.144975	0	0	0
0.43	0.965851	0.0637901	-0.0637901	-0.965851	-0.0637901	0.0637901	0	0	0	-0.164157	0.14472	-0.14472	0.164157	-0.14472	0.14472	0	0	0
0.44	0.964209	0.0652373	-0.0652373	-0.964209	-0.0652373	0.0652373	0	0	0	-0.168124	0.144458	-0.144458	0.168124	-0.144458	0.144458	0	0	0
0.45	0.962528	0.0666818	-0.0666818	-0.962528	-0.0666818	0.0666818	0	0	0	-0.172103	0.144188	-0.144188	0.172103	-0.144188	0.144188	0	0	0
0.46	0.960807	0.0681237	-0.0681237	-0.960807	-0.0681237	0.0681237	0	0	0	-0.176093	0.143912	-0.143912	0.176093	-0.143912	0.143912	0	0	0
0.47	0.959046	0.0695628	-0.0695628	-0.959046	-0.0695628	0.0695628	0	0	0	-0.180095	0.143628	-0.143628	0.180095	-0.143628	0.143628	0	0	0
0.48	0.957245	0.0709991	-0.0709991	-0.957245	-0.0709991	0.0709991	0	0	0	-0.184109	0.143337	-0.143337	0.184109	-0.143337	0.143337	0	0	0
0.49	0.955404	0.0724325	-0.0724325	-0.955404	-0.0724325	0.0724325	0	0	0	-0.188134	0.143039	-0.143039	0.188134	-0.143039	0.143039	0	0	0
0.5	0.953523	0.0738629	-0.0738629	-0.953523	-0.0738629	0.0738629	0	0	0	-0.192173	0.142732	-0.142732	0.192173	-0.142732	0.142732	0	0	0
0.51	0.951601	0.0752902	-0.0752902	-0.951601	-0.0752902	0.0752902	0	0	0	-0.196224	0.142419	-0.142419	0.196224	-0.142419	0.142419	0	0	0
0.52	0.949639	0.0767144	-0.0767144	-0.949639	-0.0767144	0.0767144	0	0	0	-0.200289	0.142097	-0.142097	0.200289	-0.142097	0.142097	0	0	0
0.53	0.947636	0.0781354	-0.0781354	-0.947636	-0.0781354	0.0781354	0	0	0	-0.204367	0.141768	-0.141768	0.204367	-0.141768	0.141768	0	0	0
0.54	0.945592	0.079553	-0.079553	-0.945592	-0.079553	0.079553	0	0	0	-0.208459	0.14143	-0.14143	0.208459	-0.14143	0.14143	0	0	0
0.55	0.943507	0.0809673	-0.0809673	-0.943507	-0.0809673	0.0809673	0	0	0	-0.212565	0.141085	-0.141085	0.212565	-0.141085	0.141085	0	0	0
0.56	0.941382	0.0823782	-0.0823782	-0.941382	-0.0823782	0.0823782	0	0	0	-0.216687	0.140731	-0.140731	0.216687	-0.140731	0.140731	0	0	0
0.57	0.939215	0.0837855	-0.0837855	-0.939215	-0.0837855	0.0837855	0	0	0	-0.220823	0.140369	-0.140369	0.220823	-0.140369	0.140369	0	0	0
0.58	0.937007	0.0851892	-0.0851892	-0.937007	-0.0851892	0.0851892	0	0	0	-0.224974	0.139999	-0.139999	0.224974	-0.139999	0.139999	0	0	0
0.59	0.934757	0.0865892	-0.0865892	-0.934757	-0.0865892	0.0865892	0	0	0	-0.229142	0.13962	-0.13962	0.229142	-0.13962	0.13962	0	0	0
0.6	0.932466	0.0879854	-0.0879854	-0.932466	-0.0879854	0.0879854	0	0	0	-0.233325	0.139232	-0.139232	0.233325	-0.139232	0.139232	0	0	0
0.61	0.930132	0.0893777	-0.0893777	-0.930132	-0.0893777	0.0893777	0	0	0	-0.237526	0.138836	-0.138836	0.237526	-0.138836	0.138836	0	0	0
0.62	0.927757	0.090766	-0.090766	-0.927757	-0.090766	0.090766	0	0	0	-0.241743	0.138431	-0.138431	0.241743	-0.138431	0.138431	0	0	0
0.63	0.92534	0.0921504	-0.0921504	-0.92534	-0.0921504	0.0921504	0	0	0	-0.245977	0.138016	-0.138016	0.245977	-0.138016	0.138016	0	0	0
0.64	0.92288	0.0935305	-0.0935305	-0.92288	-0.0935305	0.0935305	0	0	0	-0.25023	0.137593	-0.137593	0.25023	-0.137593	0.137593	0	0	0
0.65	0.920378	0.0949065	-0.0949065	-0.920378	-0.0949065	0.0949065	0	0	0	-0.2545	0.13716	-0.13716	0.2545	-0.13716	0.13716	0	0	0
0.66	0.917833	0.0962781	-0.0962781	-0.917833	-0.0962781	0.0962781	0	0	0	-0.25879	0.136718	-0.136718	0.25879	-0.136718	0.136718	0	0	0
0.67	0.915245	0.0976452	-0.0976452	-0.915245	-0.0976452	0.0976452	0	0	0	-0.263098	0.136266	-0.136266	0.263098	-0.136266	0.136266	0	0	0
